YEAR;DOY;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;WS2M;T2M_MAX;T2M_MIN
2021;1;17,53;23,19;3,07;77,31;0,09;32,64;22,41
2021;2;18,69;23,41;3,76;81,81;0,09;32;22,94
2021;3;20,1;24,06;3,72;80,56;0,1;31,6;23,27
2021;4;21,27;24,18;6,15;77,06;0,12;33,12;22,15
2021;5;22,43;24,43;3,2;73,12;0,16;32,19;21,52
2021;6;20,19;24,13;0,36;65,31;0,12;33,45;22,32
2021;7;17,48;23,07;1,16;74,56;0,09;31,8;22,83
2021;8;14,73;22,94;0,93;81,12;0,09;30,13;22,64
2021;9;17,23;22,97;1,05;82,94;0,12;29,42;22,93
2021;10;17,59;23,43;2,65;78,44;0,08;32,65;22,69
2021;11;16,09;23,14;2,88;80,19;0,11;32,88;23,22
2021;12;22,1;24,17;0,55;74;0,09;33,1;23,66
2021;13;18,97;23,3;0,02;66,75;0,11;34,48;23,88
2021;14;21,09;24,45;0,33;68,69;0,09;33,99;24,43
2021;15;20,49;24,58;2,01;73,56;0,11;33,01;23,99
2021;16;20,83;24,47;1,15;72,56;0,15;33,21;22,63
2021;17;21,92;24,66;0,93;67,19;0,11;34,15;22,6
2021;18;20,67;24,63;1,84;66,38;0,14;35,37;23,04
2021;19;22,14;24,82;2,04;68,75;0,15;34,05;21,54
2021;20;21,02;24,56;0,98;62,69;0,13;35,39;21,15
2021;21;20,62;24,12;0,54;67,5;0,13;33,98;23,85
2021;22;22,31;25,01;1,81;70,88;0,12;33,78;24,36
2021;23;19,22;24,32;1,01;77;0,12;31,76;23,83
2021;24;17,25;23,88;0;74,56;0,1;32,41;24,1
2021;25;20,98;24,44;2,58;71,31;0,12;33,83;24,63
2021;26;17,76;24,43;1,79;73,62;0,1;33,01;22,76
2021;27;20,68;25,13;1,64;73;0,11;33,25;23,84
2021;28;20,4;25,13;0,39;69,12;0,16;34,94;23,44
2021;29;20,47;24,18;0,07;67,06;0,13;32,08;23,49
2021;30;22,54;25,59;2,51;64,56;0,12;34,82;23,05
2021;31;22,8;25,23;2,32;70,81;0,09;35,4;23,16
2021;32;20,94;24,44;2,42;71,62;0,09;34,83;23,37
2021;33;20,94;25,38;0,44;69,56;0,12;32,76;24,25
2021;34;19,83;25,42;0,03;70,38;0,1;32,65;24,45
2021;35;21,66;25,46;0,05;64,19;0,14;36,2;23,91
2021;36;18,79;24,41;0,2;71;0,1;32,73;25,35
2021;37;18,43;24,37;1,85;80,12;0,08;29,69;24,58
2021;38;21,38;25,35;0,49;75,62;0,12;31,56;23,7
2021;39;20,44;25,42;0,17;69,38;0,07;34,33;24,05
2021;40;16,37;24,71;0,23;63,44;0,12;36,3;24,35
2021;41;16,64;24,97;0,65;63,38;0,13;35,07;24,86
2021;42;21,45;25,43;0,45;59,19;0,14;36,61;24,17
2021;43;17,84;25,25;1,49;64,94;0,14;33,83;24,15
2021;44;16,7;25,19;4,03;74,38;0,12;32,8;23,83
2021;45;12,43;24,51;1,2;69,75;0,1;34,47;23,3
2021;46;20,88;25,04;1,12;61,5;0,1;36,88;24,23
2021;47;19,45;24,73;1,83;68,81;0,12;33,84;24,58
2021;48;17,36;24,11;0,69;70,94;0,09;31,72;23,94
2021;49;19,64;25,58;1,04;68,88;0,12;34,26;22,89
2021;50;18,89;25,34;1,02;67;0,11;33,96;23,34
2021;51;19,98;25,35;2,34;67,69;0,13;34,73;23,8
2021;52;17,27;25,3;1,71;68,69;0,12;34,2;22,23
2021;53;18,48;25,55;0,01;60,06;0,13;35,54;23,25
2021;54;19,06;25,57;1,84;65,06;0,11;34,69;24,23
2021;55;19,85;25,69;2,51;69,25;0,09;35,51;23,48
2021;56;18,09;25,07;1,44;69,06;0,09;36,08;24,75
2021;57;20,42;26,08;0,66;71,06;0,09;34,34;24,51
2021;58;19,9;26,1;2,99;71,62;0,09;33,49;24,8
2021;59;20,55;26,43;0,65;69;0,1;33,87;23,76
2021;60;23,82;26,75;2,71;60,69;0,11;36,69;23,73
2021;61;23,07;25,73;1,79;67,88;0,12;34,01;22,4
2021;62;21,87;26,57;0,23;63,81;0,16;34,19;21,9
2021;63;14,52;25,38;0,01;58,69;0,17;34,76;23,26
2021;64;15,34;25,46;0,08;60,31;0,12;34,69;23,54
2021;65;16,93;25,45;0,06;65,25;0,08;33,87;24,09
2021;66;13,6;25,44;2,29;73,44;0,09;33,77;24,3
2021;67;16,49;26,21;1,17;77,88;0,1;30,93;24,59
2021;68;23,21;26,63;0,39;70,31;0,09;32,4;23,23
2021;69;18,62;26,66;0;63;0,13;33,44;24,08
2021;70;14,95;26,15;0;60,62;0,12;33,16;24,48
2021;71;18,18;26,05;0;57,75;0,16;34,67;23,77
2021;72;16,91;26,33;0;57,69;0,12;34,11;23,62
2021;73;17,82;25,55;0;59,56;0,07;32,56;24,42
2021;74;15,77;25,95;0;62,44;0,05;32,94;24,37
2021;75;16,96;26,04;0;69,19;0,08;32,08;23,39
2021;76;15,29;24,72;0;73,06;0,08;30,73;23,55
2021;77;19,27;25,11;0;72,19;0,11;30,71;23,55
2021;78;20,3;26,44;0;70,94;0,13;30,48;23,23
2021;79;19,87;26,44;0;62,5;0,1;34,32;23,4
2021;80;20,69;26,31;0;57;0,1;36,12;23,74
2021;81;13,74;25,98;0;70,56;0,12;28,18;23,75
2021;82;17,52;25,1;0;62,69;0,16;33,77;23,21
2021;83;17,34;25,38;0,22;64,31;0,1;32,54;24,69
2021;84;18,43;26,08;1,03;74,19;0,06;31,94;23,37
